"op","pdf_date","pdf_document","pdf_control","supabase_date","supabase_document","supabase_control","match_mode","pdf_total","supabase_total","delta_total","pdf_exempt","supabase_exempt_base","delta_exempt","pdf_taxable_base","supabase_taxable_base","delta_base","pdf_vat","supabase_vat","delta_vat","pdf_retention","supabase_retention","delta_retention","status","notes"
"49","06/07/2026","017757","00-017757","2026-07-06","017757","00-017757","documento+control","46693","46692.9","-0.1","46693","46692.9","-0.1","0","0","0","0","0","0","0","0","0","DIFERENCIA","total -0,10; exempt -0,10"
"50","06/07/2026","42044","Z7C7025745","","","","documento","15079.55","","","15079.55","","","0","","","0","","","0","","","FALTANTE","No se encontró factura en Supabase"
"51","09/07/2026","017795","00-017795","2026-07-09","017795","00-017795","documento+control","31510","31510","0","31510","31510","0","0","0","0","0","0","0","0","0","0","OK",""
"52","09/07/2026","456","00-000456","2026-07-09","456","00-000456","documento+control","132999.99","133000","0.01","0","0","0","114655.17","114655.17","0","18344.82","18344.83","0.01","18344.82","0","-18344.82","DIFERENCIA","retention -18.344,82"
"53","13/07/2026","1615","FD10005296","","","","documento","17723.57","","","17723.57","","","0","","","0","","","0","","","FALTANTE","No se encontró factura en Supabase"
"54","13/07/2026","245392","00-262133","2026-07-13","245392","00-262133","documento+control","35241.55","35241.55","0","35241.55","35241.55","0","0","0","0","0","0","0","0","0","0","OK",""
"55","14/07/2026","31630460","Z7C7022790","2026-07-14","31630460","31630460","documento","5545.85","5545.84","-0.01","5545.85","5545.84","-0.01","0","0","0","0","0","0","0","0","0","DIFERENCIA","control PDF Z7C7022790 vs Supabase 31630460"
"56","20/07/2026","017886","00-017886","2026-07-20","017886","00-017886","documento+control","77385","77384.97","-0.03","77385","77384.97","-0.03","0","0","0","0","0","0","0","0","0","DIFERENCIA","total -0,03; exempt -0,03"
"57","20/07/2026","245513","00-262261","2026-07-20","245513","00-262261","documento+control","28841.61","28841.6","-0.01","28841.61","28841.6","-0.01","0","0","0","0","0","0","0","0","0","OK",""
"58","20/07/2026","91465","Z7C7028397","","","","documento","5305.84","","","5305.84","","","0","","","0","","","0","","","FALTANTE","No se encontró factura en Supabase"
"59","20/07/2026","96779","Z7C7025637","","","","documento","5571.24","","","5571.24","","","0","","","0","","","0","","","FALTANTE","No se encontró factura en Supabase"
"60","21/07/2026","96908","Z7C7025637","","","","documento","15887.29","","","15887.29","","","0","","","0","","","0","","","FALTANTE","No se encontró factura en Supabase"
"61","23/07/2026","017920","00-017920","2026-07-23","017920","00-017920","documento+control","33204","33204","0","33204","33204","0","0","0","0","0","0","0","0","0","0","OK",""
"62","23/07/2026","1636","FD10005296","","","","documento","18129.71","","","18129.71","","","0","","","0","","","0","","","FALTANTE","No se encontró factura en Supabase"
"63","23/07/2026","30611","Z7C7028238","","","","documento","2656.36","","","2656.36","","","0","","","0","","","0","","","FALTANTE","No se encontró factura en Supabase"
"64","24/07/2026","81577","Z7C7028243","","","","documento","2672.02","","","2672.02","","","0","","","0","","","0","","","FALTANTE","No se encontró factura en Supabase"
"65","27/07/2026","31644950","Z7C7022799","2026-07-27","31644950","31644950","documento","6899.02","6899.01","-0.01","6899.02","6899.01","-0.01","0","0","0","0","0","0","0","0","0","DIFERENCIA","control PDF Z7C7022799 vs Supabase 31644950"
"66","28/07/2026","71106","Z7C7028152","","","","documento","2807.62","","","2807.62","","","0","","","0","","","0","","","FALTANTE","No se encontró factura en Supabase"
"67","30/07/2026","1653","FD10005296","","","","documento","18320.37","","","18320.37","","","0","","","0","","","0","","","FALTANTE","No se encontró factura en Supabase"
"68","30/07/2026","229302","Z1F0015500","","","","documento","7754.65","","","7754.65","","","0","","","0","","","0","","","FALTANTE","No se encontró factura en Supabase"
"69","30/07/2026","31647480","Z7C7022799","2026-07-30","31647480","31647480","documento","5711.61","5711.6","-0.01","5711.61","5711.6","-0.01","0","0","0","0","0","0","0","0","0","DIFERENCIA","control PDF Z7C7022799 vs Supabase 31647480"
"70","30/07/2026","31647908","Z7C7022799","2026-07-30","31647908","31647908","documento","5711.61","5711.6","-0.01","5711.61","5711.6","-0.01","0","0","0","0","0","0","0","0","0","DIFERENCIA","control PDF Z7C7022799 vs Supabase 31647908"
"71","30/07/2026","44142","Z7C7025745","","","","documento","15790.05","","","15790.05","","","0","","","0","","","0","","","FALTANTE","No se encontró factura en Supabase"
"72","31/07/2026","0000033658","00-039338","2026-07-16","0000033658","00-039338","documento+control","46375.01","46375.01","0","46375.01","46375.01","0","0","0","0","0","0","0","0","0","0","DIFERENCIA","fecha PDF 31/07/2026 vs Supabase 2026-07-16"
