"linea_csv","codigo","descripcion","departamento","existencia","precio_1","moneda","iva","unidad","tipo_origen","conflictos","recomendacion"
"6186","648","DISCO  MUMERO 8","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","49","651,48","USD $","IVA1","UNI","Producto","","apto_con_mapeo"
"6187","65","VASOS DOMO DE 9 ONZ DE 48 UNDS.","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","0","20.862,67","USD $","IVA1","UNI","Producto","codigo_duplicado","revisar_antes_de_importar"
"6188","650","PAPEL SANI TISU JUMBO POR UNIDAD","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","0","1.939,30","USD $","IVA1","UNI","Producto","","apto_con_mapeo"
"6189","651","CAPACILLO Nº 10","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","10","6.855,74","USD $","IVA1","UNI","Producto","","apto_con_mapeo"
"6190","652","MANTECA VEGETAL FLAMELA DE 15 GR.","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","0","53.027,84","USD $","EXENTO","UNI","Producto","","apto_con_mapeo"
"6191","653","MARGARINA  SABROSITA DE 15 KG.","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","135","42.179,86","USD $","EXENTO","UNI","Producto","","apto_con_mapeo"
"6192","654","HARINA PANADERA MARY DE 45 KG.","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","0","53.179,35","USD $","EXENTO","UNI","Producto","","apto_con_mapeo"
"6193","655","GOMITAS VARIADAS BRASILERAS DE 1 KILO","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","0","12.726,68","USD $","IVA1","UNI","Producto","","apto_con_mapeo"
"6194","656","LLUVIA DE CARNAVAL DE 1 KILO","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","0","9.014,73","USD $","IVA1","UNI","Producto","","apto_con_mapeo"
"6195","657","PERLAS VARIADAS DE 1 KILO","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","0","14.847,80","USD $","IVA1","UNI","Producto","","apto_con_mapeo"
"6196","658","ESENCIA DE MANTECADO GALON","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","4","11.469,16","USD $","IVA1","UNI","Producto","","apto_con_mapeo"
"6197","659","CHOCOLATE NUTCAD DE RELLENO DE 5 KG.","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","14","36.248,32","USD $","IVA1","UNI","Producto","","apto_con_mapeo"
"6198","660","BOLSAS ASA  Nº 5 PLASTICAS PAQUETE DE 10 UNDS.","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","7743","19.385,46","USD $","IVA1","UNI","Producto","","apto_con_mapeo"
"6199","661","LEVADURA FRESCA DE 500 GR. LEVAPAN","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","0","2.575,64","USD $","IVA1","UNI","Producto","","apto_con_mapeo"
"6200","662","ACEITE OLEINA DE PALMA DE 18 LT.","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","0","55.012,60","USD $","EXENTO","UNI","Producto","","apto_con_mapeo"
"6201","663","MANTECA TRESCO DE 10 K.","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","22","80.390,21","USD $","IVA1","UNI","Producto","","apto_con_mapeo"
"6202","664","CHOCOLATE BITTER DE 25 GR.","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","0","151,51","USD $","IVA1","UNI","Producto","","apto_con_mapeo"
"6203","665","AREQUIPE DE 25 GR.","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","0","113,63","USD $","IVA1","UNI","Producto","","apto_con_mapeo"
"6204","666","BRILLO MGEL NEUTRO DE 5 KG.","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","47","113,63","USD $","IVA1","UNI","Producto","","apto_con_mapeo"
"6205","667","CANELA EN POLVO DE 1 KG.","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","20","8.014,78","USD $","IVA1","UNI","Producto","","apto_con_mapeo"
"6206","669","ESENCIA DE FRESA GALON","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","0","12.302,46","USD $","IVA1","UNI","Producto","","apto_con_mapeo"
"6207","67","CAPUCHO DE PANETTONE DE 100 GR X 100 UNDS.","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","4","4.901,29","USD $","IVA1","UNI","Producto","codigo_duplicado","revisar_antes_de_importar"
"6208","670","COLOR ROJO","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","0","14.764,47","USD $","IVA1","UNI","Producto","","apto_con_mapeo"
"6209","671","VELAS DE NUMERO PEQUEÑO DORADA Y PLATEADA","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","9","909,05","USD $","IVA1","UNI","Producto","","apto_con_mapeo"
"6210","672","CONTENEDOR TRIANGULAR TRES LECHES","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","800","106,06","USD $","IVA1","UNI","Producto","","apto_con_mapeo"
"6211","675","HILO PAVILO","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","93","287,87","USD $","EXENTO","UNI","Producto","","apto_con_mapeo"
"6212","676","TIRRO TRANSPARENTE","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","36","1.469,63","USD $","IVA1","UNI","Producto","","apto_con_mapeo"
"6213","677","MARGARINA TRESCO DE 10 GK.","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","5","44.058,56","USD $","EXENTO","UNI","Producto","","apto_con_mapeo"
"6214","68","CAPUCHO DE PANETTONE DE 500 GR. X 100 UNDSS","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","700","318,17","USD $","IVA1","UNI","Producto","codigo_duplicado","revisar_antes_de_importar"
"6215","680","JAMON DE PAVO PLANCHADO MOVILLA","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","5,43","20.552,08","USD $","IVA1","KG","Producto","codigo_duplicado","revisar_antes_de_importar"
"6216","682","AZUCAR BLANCA INDUSTRIAL SACO DE 50 KG.","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","9","66.474,19","USD $","EXENTO","UNI","Producto","codigo_duplicado","revisar_antes_de_importar"
"6217","684","VASO DOMO","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","1448","772,69","USD $","IVA1","UNI","Producto","codigo_duplicado","revisar_antes_de_importar"
"6218","685","PAPEL ANTIGRASA DE 4 KG.","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","12","21.415,67","USD $","IVA1","UNI","Producto","codigo_duplicado","revisar_antes_de_importar"
"6219","686","NUECES PELADAS POR KILO","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","25","14.014,50","USD $","IVA1","KG","Producto","codigo_duplicado","revisar_antes_de_importar"
"6220","687","CUCHARAS POSTRE","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","5996","151,51","USD $","IVA1","UNI","Producto","","apto_con_mapeo"
"6221","688","BRILLO GEL FRESA DE 5 KG.","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","14","75,75","USD $","IVA1","UNI","Producto","","apto_con_mapeo"
"6222","689","BRILLO GEL CHOCOLATE DE 5 KG.","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","11","166,66","USD $","IVA1","UNI","Producto","","apto_con_mapeo"
"6223","690","ALMENDRAS FILETAEDAS","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","30","38.710,32","USD $","IVA1","KG","Producto","","apto_con_mapeo"
"6224","700","MANTECA COPOSA DE 15 KG.","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","23","55.012,60","USD $","IVA1","UNI","Producto","","apto_con_mapeo"
"6225","701","ACEITE COPOSA DE 18 LTS.","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","5","67.762,01","USD $","EXENTO","UNI","Producto","","apto_con_mapeo"
"6226","702","REFRESCO RETORNABLE DE UVA  DE 350 CC.","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","-7","704,51","USD $","IVA1","UNI","Producto","existencia_negativa","revisar_antes_de_importar"
"6227","70221011116","CHOCOLATE TOBLERONE DE 100 GR.","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","0","2.492,31","USD $","IVA1","UNI","Producto","","apto_con_mapeo"
"6228","703","REFRESCO RETONABLE DE FRESCOLITA DE 350 CC.","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","-67","704,51","USD $","IVA1","UNI","Producto","existencia_negativa","revisar_antes_de_importar"
"6229","704","REFRESCO GOLDEN RETORNABLE PIÑA DE 350 ML.","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","22","651,48","USD $","IVA1","UNI","Producto","","apto_con_mapeo"
"6230","705","MOLDE REDONDOS  PARA TORTA NEGRA","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","100","386,35","USD $","IVA1","UNI","Producto","","apto_con_mapeo"
"6231","706","MOLDES E CORAZON DE PAPEL DE 500 GR.","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","700","674,21","USD $","IVA1","UNI","Producto","","apto_con_mapeo"
"6232","707","BOQUILLAS HOJA ROSA Nº 127 ATECO","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","2","6.166,38","USD $","IVA1","UNI","Producto","","apto_con_mapeo"
"6233","708","MOLDES DE CORAZON DE PAPEL DE 100 GR.","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","100","424,22","USD $","IVA1","UNI","Producto","","apto_con_mapeo"
"6234","70847000037","ENERGIZANTE MONSTER ORIGINAL DE 500 CC.","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","-5","4.022,54","USD $","IVA1","UNI","Producto","existencia_negativa","revisar_antes_de_importar"
"6235","70847004707","ENERGIZANTE MONSTER DE 473 ML.","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","0","3.348,33","USD $","IVA1","UNI","Producto","","apto_con_mapeo"
"6236","70847012474","MUNSTER ORIGINAL DE 473 ML.","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","21","4.022,54","USD $","IVA1","UNI","Producto","","apto_con_mapeo"
"6237","70847016205","MONSTER ULTRA BLUE DE 473 ML.","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","5","4.022,54","USD $","IVA1","UNI","Producto","","apto_con_mapeo"
"6238","70847017554","MOSNTER ULTRA RED DE 473 ML.","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","5","4.022,54","USD $","IVA1","UNI","Producto","","apto_con_mapeo"
"6239","70847020905","MOSTER ULTRA BUNRISE DE 473 ML.","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","3","4.022,54","USD $","IVA1","UNI","Producto","","apto_con_mapeo"
"6240","70847027324","MONSTER ULTRA VIOLETA DE 437 ML.","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","1","4.022,54","USD $","IVA1","UNI","Producto","","apto_con_mapeo"
"6241","70847029427","MONSTER PEACHY KEEN DE 437 ML.","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","3","4.022,54","USD $","IVA1","UNI","Producto","","apto_con_mapeo"
"6242","70847030805","MUNSTER  ULTRA DE 473 ML","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","2","3.227,12","USD $","IVA1","UNI","Producto","","apto_con_mapeo"
"6243","70847033080","MONSTER PARADISE DE 473 ML.","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","2","4.022,54","USD $","IVA1","UNI","Producto","","apto_con_mapeo"
"6244","70847037989","MONSTER ULTRA WATERMELON DE 437 ML.","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","7","4.022,54","USD $","IVA1","UNI","Producto","","apto_con_mapeo"
"6245","70847811169","ENERGIZANTE MOSTER DE 250 ML","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","6","3.848,31","USD $","IVA1","UNI","Producto","","apto_con_mapeo"
"6246","70847811268","MONSTER ENERGY ORIGINAL 500 ML","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","0","3.083,19","USD $","EXENTO","UNI","Producto","","apto_con_mapeo"
"6247","70847812609","MONSTER COFFEE ENERGY 0.443ML","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","3","3.302,88","USD $","IVA1","UNI","Producto","","apto_con_mapeo"
"6248","70847812715","MONSTER  JAVA  443 ML","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","4","3.416,51","USD $","IVA1","UNI","Producto","","apto_con_mapeo"
"6249","70847891857","MOSTER LUTRA STRAWBERRY DE 437 ML.","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","5","4.022,54","USD $","IVA1","UNI","Producto","","apto_con_mapeo"
"6250","709","COMBO DE PRUEBA","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","0","11.363,11","USD $","IVA1","UNI","Compuesto","codigo_duplicado|tipo_compuesto","revisar_antes_de_importar"
"6251","710","CHORIZO SECO VELA TIPO RIOJA","50001-DETAL DE SUPERMERCADO Y AUTOMERCADO","15,198","43.066,18","USD $","IVA1","KG","Producto","","apto_con_mapeo"
